Kodea	Izena	Koord2	Koord1	Altuera
C037	Venta Alta	-2,89976	43,2165	162
C068	Ilarduia	-2,28623	42,87395	596
C038	Galindo	-2,99878	43,3062	5
G0E7	Estanda (Estanda)	-2,21877	43,052	195
G0E9	Alegia (Oria)	-2,10488	43,1018	90
G0EA	Belauntza (Berastegi)	-2,04845	43,1424	105
G0F0	Ereñozu (Urumea)	-1,93922	43,242	25
G0F4	Oiartzun (Oiartzun)	-1,88459	43,3087	53
G0E5	Agauntza (Agauntza)	-2,17748	43,0179	180
G0B6	Berna (Ibaizabal)	-2,67238	43,1871	95
G0C1	Aranguren (Kadagua)	-3,12755	43,2137	92
G0C2	Balmaseda (Kadagua)	-3,21913	43,1771	178
G0D0	Urkulu (Embalse)	-2,47239	43,013	340
G0D1	Zubillaga (Oñati)	-2,43755	43,0621	195
G0D2	San Prudentzio (Deba)	-2,44745	43,0835	175
G0D3	Aixola (Embalse)	-2,50123	43,1547	320
G0DC	Ibai Eder (Ibai Eder)	-2,25601	43,1751	90
G0B4	Orozko (Altube)	-2,91543	43,0864	200
G0DD	Aizarnazabal (Urola)	-2,24219	43,2553	25
G071	Jaizkibel (Repetidor)	-1,85972	43,3446	545
G072	Orduña (Repetidor)	-3,03726	42,9837	934
G077	Andoain (Leitzaran)	-2,01559	43,2109	52
G078	Altzola (Deba)	-2,39784	43,2419	17
G079	Amorebieta (Ibaizabal)	-2,73304	43,2185	65
G0B1	Abusu (Nerbioi)	-2,91364	43,2474	23
G0B2	Zaratamo (Nerbioi)	-2,87935	43,22	65
G0B3	Urkizu (Arratia)	-2,7721	43,1849	75
G070	Zaldiaran (Repetidor)	-2,73642	42,7966	980
G055	Ozaeta (Barrundia)	-2,49313	42,913	548
G056	Alegría (Canal)	-2,52402	42,8447	545
G057	Mungia (Depuradora)	-2,84702	43,363	22
G058	Bidania (Depósito)	-2,15502	43,146	592
G059	Ordunte (Embalse)	-3,28404	43,1623	300
G063	Muxika (Oka)	-2,68914	43,2897	16
G064	Zarautz (Camping)	-2,14542	43,293	80
G067	Gardea (Nerbioi)	-2,98025	43,1272	141
G054	Otxandio (Urkiola)	-2,65763	43,0423	556
G047	Kapildui (Repetidor)	-2,53785	42,768	1173
G048	Herrera (Puerto)	-2,67616	42,5978	1188
G049	Subijana (Peaje)	-2,89328	42,8196	537
G050	Zambrana (Peaje)	-2,8869	42,6751	470
G051	Saratxo (Nerbioi)	-3,00398	43,0342	230
G052	Leitzaran (Central)	-1,95085	43,1417	285
G053	Barazar (Puerto)	-2,71048	43,0703	608
G046	Oiz (Repetidor)	-2,5954	43,2304	980
